search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category
Gala Apples,Publix CMI Orchards Gala Snack Apples,2 lb,Current price: $5.53,Publix,2026-02-03,5.53,32.0,oz,False,0.172813,Private,Produce
Iceberg Lettuce,Publix Fresh Express Iceberg Lettuce Shreds,,Current price: $3.33,Publix,2026-02-03,3.33,,,True,,National,Produce
Iceberg Lettuce,Publix Romaine Lettuce,1 ct,Current price: $2.75,Publix,2026-02-03,2.75,1.0,count,False,2.75,Private,Produce
Iceberg Lettuce,"Publix Lettuce, Butter, Hydroponic",,Current price: $4.41,Publix,2026-02-03,4.41,,,True,,Private,Produce
Iceberg Lettuce,"Publix Lettuce, Artisan",4 ct,Current price: $7.75,Publix,2026-02-03,7.75,4.0,count,False,1.9375,Private,Produce
Ground Beef 80/20,Publix Force of Nature Grass Fed Ground Beef 80/20,16 oz,Current price: $10.99,Publix,2026-02-03,10.99,16.0,oz,False,0.686875,National,Meat
Ground Beef 80/20,Publix Simpson's Meats Ground Beef Brick,,Current price: $9.97,Publix,2026-02-03,9.97,,,True,,Private,Meat
Ground Beef 80/20,"Publix Thousand Hills Lifetime Grazed 100% Grass Fed Ground Beef, 70% Lean 30% Fat",16 oz,Current price: $10.99,Publix,2026-02-03,10.99,16.0,oz,False,0.686875,Private,Meat
Ground Beef 80/20,"Publix Thousand Hills Lifetime Grazed Ground Beef, 85%/15%, 100% Grass Fed",16 oz,Current price: $13.29,Publix,2026-02-03,13.29,16.0,oz,False,0.830625,Private,Meat
Ground Beef 80/20,"Publix Free Graze Ground Beef, Kobe, American Style",16 oz,Current price: $12.19,Publix,2026-02-03,12.19,16.0,oz,False,0.761875,Private,Meat
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-03,9.43,18.08,oz,False,0.521571,National,Meat
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-03,9.43,18.08,oz,False,0.521571,National,Meat
Chicken Breast,Publix Just Bare Fully Cooked Lightly Breaded Chicken Breast Bites,1.5 lb,Current price: $15.49,Publix,2026-02-03,15.49,24.0,oz,False,0.645417,National,Meat
Chicken Breast,Publix Just Bare Fully Cooked Lightly Breaded Chicken Breast Strips,1.5 lb,Current price: $15.49,Publix,2026-02-03,15.49,24.0,oz,False,0.645417,National,Meat
Chicken Breast,Publix Swanson's White Premium Chunk Canned Chicken Breast in Water,4 x 4.5 oz,Current price: $11.29,Publix,2026-02-03,11.29,4.0,oz,False,2.8225,Private,Meat
White Bread,"Publix Nature's Own Butterbread, Sliced White Bread, 20 oz Loaf",20 oz,Current price: $4.87,Publix,2026-02-03,4.87,20.0,oz,False,0.2435,National,Pantry
White Bread,"Publix Nature's Own Perfectly Crafted White Bread, Thick Sliced Non-GMO Sandwich Bread, 22 oz Loaf",22 oz,Current price: $5.31,Publix,2026-02-03,5.31,22.0,oz,False,0.241364,National,Pantry
White Bread,"Publix Publix Bread, White Sandwich",20 oz,Current price: $3.31,Publix,2026-02-03,3.31,20.0,oz,False,0.1655,Private,Pantry
White Bread,"Publix Publix Bread, White, Old Fashioned, Enriched",20 oz,Current price: $3.05,Publix,2026-02-03,3.05,20.0,oz,False,0.1525,Private,Pantry
White Bread,"Publix Sara Lee Delightful, White Bread",15 oz,Current price: $4.97,Publix,2026-02-03,4.97,15.0,oz,False,0.331333,Private,Pantry
Spaghetti Pasta,Publix Barilla N.305 Spaghetti,1 lb,Current price: $3.31,Publix,2026-02-03,3.31,16.0,oz,False,0.206875,Private,Pantry
Spaghetti Pasta,"Publix Publix Spaghetti, Thin",16 oz,Current price: $1.37,Publix,2026-02-03,1.37,16.0,oz,False,0.085625,Private,Pantry
Spaghetti Pasta,Publix GreenWise Organic Spaghetti,16 oz,Current price: $2.19,Publix,2026-02-03,2.19,16.0,oz,False,0.136875,Private,Pantry
Spaghetti Pasta,"Publix Publix Spaghetti, Bronze Cut, Slow Dried",16 oz,Current price: $3.31,Publix,2026-02-03,3.31,16.0,oz,False,0.206875,Private,Pantry
Spaghetti Pasta,"Publix Publix Spaghetti, Whole Wheat",16 oz,Current price: $1.37,Publix,2026-02-03,1.37,16.0,oz,False,0.085625,Private,Pantry
Tomato Sauce,Publix Contadina Tomato Sauce,8 oz,Current price: $0.98,Publix,2026-02-03,0.98,8.0,oz,False,0.1225,National,Pantry
Tomato Sauce,Publix Contadina Tomato Sauce,14.5 oz,Current price: $1.97,Publix,2026-02-03,1.97,14.5,oz,False,0.135862,National,Pantry
Tomato Sauce,Publix Publix Tomato Sauce,8 oz,Current price: $0.83,Publix,2026-02-03,0.83,8.0,oz,False,0.10375,Private,Pantry
Tomato Sauce,Publix Publix Tomato Sauce,29 oz,Current price: $2.43,Publix,2026-02-03,2.43,29.0,oz,False,0.083793,Private,Pantry
Dish Soap,Publix Finish® Powerball Ultimate Dishwasher Detergent Tabs,62 ct,Current price: $23.99,Publix,2026-02-03,23.99,62.0,count,False,0.386935,National,Household
Dish Soap,Publix FINISH® Quantum 84ct - Dishwasher Detergent,84 ct,Current price: $23.99,Publix,2026-02-03,23.99,84.0,count,False,0.285595,National,Household
Dish Soap,"Publix Publix Dishwashing Detergent, Lemon Fresh, Automatic, Liquid Gel",75 oz,Current price: $6.97,Publix,2026-02-03,6.97,75.0,oz,False,0.092933,Private,Household
Dish Soap,Publix Publix Ultra Triple Action Dishwasher Detergent Pacs,36 ct,Current price: $9.63,Publix,2026-02-03,9.63,36.0,count,False,0.2675,Private,Household
Whole Milk,"Walmart Lactaid Whole Milk, 96 oz",96 oz,$6.38,Walmart,2026-02-03,6.38,96.0,oz,False,0.066458,National,Dairy
Whole Milk,"Walmart Organic Valley Grassmilk Organic Grassfed Whole Milk, 59 fl oz",59 fl oz,$6.67,Walmart,2026-02-03,6.67,59.0,oz,False,0.113051,National,Dairy
Whole Milk,"Walmart Pecana USDA Organic Unsweetened Vanilla Pecan Milk, 32 fl oz Carton",32 fl oz Carton,$5.68,Walmart,2026-02-03,5.68,32.0,oz,False,0.1775,National,Dairy
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-03,3.38,128.0,oz,False,0.026406,National,Dairy
Whole Milk,"Walmart Great Value Organic Whole Vitamin D Milk, Half Gallon, 64 fl oz",64 fl oz,$4.04,Walmart,2026-02-03,4.04,64.0,oz,False,0.063125,National,Dairy
Large Eggs (12 count),Walmart Pete & Gerry's Organic Eggs Large 12 Ct,,$6.54,Walmart,2026-02-03,6.54,,,True,,National,Dairy
Large Eggs (12 count),"Walmart Great Value Jumbo White Eggs, 12 Count",12 Count,$2.46,Walmart,2026-02-03,2.46,12.0,count,False,0.205,National,Dairy
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-03,2.22,12.0,count,False,0.185,National,Dairy
Large Eggs (12 count),"Walmart Sunny Fresh Cage Free Selections Whole Eggs with Citric Acid, 2 Pound -- 12 per case.",2 Pound -- 12 per case.,$207.75,Walmart,2026-02-03,207.75,32.0,oz,False,6.492188,National,Dairy
Large Eggs (12 count),Walmart Pete & Gerry's Organic Eggs Large 12 Ct,,$6.54,Walmart,2026-02-03,6.54,,,True,,National,Dairy
Salted Butter,"Walmart Land O Lakes Salted Stick Butter, 16 oz box, 4 Sticks",4 Sticks,$4.96,Walmart,2026-02-03,4.96,,,True,,National,Dairy
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-03,2.86,8.0,count,False,0.3575,National,Dairy
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 8 Half Sticks, 1 lb Pack",1 lb Pack,$4.96,Walmart,2026-02-03,4.96,16.0,oz,False,0.31,National,Dairy
